bowler,season,bowling_team,matches,balls_bowled,overs_bowled,runs_given,wickets,economy_rate,bowling_average
Yuvraj Singh,2018,Kings XI Punjab,2,12,2.0,23,0,11.5,
Z Khan,2008,Royal Challengers Bangalore,11,252,42.0,357,13,8.5,19.38
Z Khan,2009,Mumbai Indians,6,126,21.0,142,6,6.76,21.0
Z Khan,2010,Mumbai Indians,14,290,48.3,376,15,7.78,19.33
Z Khan,2011,Royal Challengers Bangalore,15,354,59.0,455,14,7.71,25.29
Z Khan,2012,Royal Challengers Bangalore,15,360,60.0,453,17,7.55,21.18
Z Khan,2013,Royal Challengers Bangalore,2,36,6.0,47,5,7.83,7.2
Z Khan,2014,Mumbai Indians,6,134,22.3,146,5,6.54,26.8
Z Khan,2015,Delhi Daredevils,7,145,24.2,156,7,6.46,20.71
Z Khan,2016,Delhi Daredevils,12,262,43.7,337,10,7.72,26.2
Z Khan,2017,Delhi Daredevils,11,241,40.2,313,10,7.79,24.1
Zeeshan Ansari,2025,Sunrisers Hyderabad,10,203,33.8,333,6,9.84,33.83
